date,product,variety,origin_department,origin_province,market,market_city,min_price_per_kg,avg_price_per_kg,max_price_per_kg,volume_kg,source_x,is_synthetic_x,generated_at_x,is_outlier,temp_min_c,temp_max_c,temp_avg_c,precipitation_mm,humidity_avg,wind_speed_kmh,year,month,planted_area_ha,harvested_area_ha,production_tons,yield_tons_per_ha,distance_km,vehicle_type,max_capacity_kg,total_transport_cost,cost_per_kg,valid_from,valid_to,fuel_price_index,source_y,is_synthetic_y,generated_at_y,logistics_is_outlier,day_of_week,day_of_month,week_of_year,quarter,is_weekend,days_since_start,price_lag_1,price_lag_3,price_lag_7,price_lag_14,price_lag_30,price_rolling_mean_3,price_rolling_mean_7,price_rolling_mean_14,price_rolling_mean_30,price_rolling_std_7,price_rolling_std_14,price_change_1d,price_change_7d,volume_lag_1,volume_lag_7,volume_rolling_mean_7,volume_rolling_mean_14,volume_change_7d,temperature_rolling_mean_7,temperature_rolling_mean_14,precipitation_rolling_sum_7,precipitation_rolling_sum_14,humidity_rolling_mean_7,target_price_next_day,target_price_next_7_days
2024-03-30,Granada,Blanca De Junin,Puno,Puno,Gran Mercado Mayorista De Lima,Lima,4.66,5.05,5.46,7680.87,SYNTHETIC_GENERATOR,True,2026-06-30,False,5.94,20.83,13.29,0.0,62.32,12.64,2024,3,,,,,1300.0,Truck,10000.0,7700.0,0.77,2024-03-01,2024-03-31,1.073,SYNTHETIC_GENERATOR,True,2026-06-30,False,5,30,13,1,1,89,,,,,,,,,,,,,,,,,,,,,,,,4.28,
2026-01-24,Granada,Blanca De Junin,Puno,Puno,Gran Mercado Mayorista De Lima,Lima,4.11,4.28,4.54,7517.28,SYNTHETIC_GENERATOR,True,2026-06-30,False,1.5,17.23,9.24,0.0,68.32,13.2,2026,1,,,,,1300.0,Truck,10000.0,10100.0,1.01,2026-01-01,2026-01-31,1.333,SYNTHETIC_GENERATOR,True,2026-06-30,False,5,24,4,1,1,754,5.05,,,,,,,,,,,-0.1524752475247524,,7680.87,,,,,,,,,,4.96,
2026-02-28,Granada,Blanca De Junin,Puno,Puno,Gran Mercado Mayorista De Lima,Lima,4.69,4.96,5.36,7997.66,SYNTHETIC_GENERATOR,True,2026-06-30,False,4.23,19.12,12.0,0.0,69.57,13.68,2026,2,,,,,1300.0,Truck,10000.0,10100.0,1.01,2026-02-01,2026-02-28,1.358,SYNTHETIC_GENERATOR,True,2026-06-30,False,5,28,9,1,1,789,4.28,,,,,,,,,,,0.1588785046728971,,7517.28,,,,,,,,,,,
2024-11-12,Granada,Hass,La Libertad,Viru,Mercado Mayorista de Frutas,Lima,4.77,5.0,5.4,23414.44,SYNTHETIC_GENERATOR,True,2026-06-30,False,16.31,29.08,23.0,0.0,70.1,13.02,2024,11,,,,,500.0,Truck,10000.0,4800.0,0.48,2024-11-01,2024-11-30,1.117,SYNTHETIC_GENERATOR,True,2026-06-30,False,1,12,46,4,0,316,,,,,,,,,,,,,,,,,,,,,,,,4.97,
2024-12-04,Granada,Hass,La Libertad,Viru,Mercado Mayorista de Frutas,Lima,4.61,4.97,5.24,21448.99,SYNTHETIC_GENERATOR,True,2026-06-30,False,15.84,29.46,22.35,0.0,76.05,11.75,2024,12,,,,,500.0,Truck,10000.0,5000.0,0.5,2024-12-01,2024-12-31,1.134,SYNTHETIC_GENERATOR,True,2026-06-30,False,2,4,49,4,0,338,5.0,,,,,,,,,,,-0.006000000000000005,,23414.44,,,,,,,,,,5.71,
2024-12-27,Granada,Hass,La Libertad,Viru,Mercado Mayorista de Frutas,Lima,5.31,5.71,6.17,17329.96,SYNTHETIC_GENERATOR,True,2026-06-30,False,16.97,30.7,23.9,0.0,73.29,13.57,2024,12,,,,,500.0,Truck,10000.0,5000.0,0.5,2024-12-01,2024-12-31,1.134,SYNTHETIC_GENERATOR,True,2026-06-30,False,4,27,52,4,0,361,4.97,,,,,,,,,,,0.14889336016096588,,21448.99,,,,,,,,,,6.69,
2025-03-22,Granada,Hass,La Libertad,Viru,Mercado Mayorista de Frutas,Lima,6.23,6.69,7.23,21538.69,SYNTHETIC_GENERATOR,True,2026-06-30,False,19.57,33.28,26.39,0.0,65.4,14.71,2025,3,,,,,500.0,Truck,10000.0,5200.0,0.52,2025-03-01,2025-03-31,1.21,SYNTHETIC_GENERATOR,True,2026-06-30,False,5,22,12,1,1,446,5.71,5.0,,,,5.226666666666667,,,,,,0.17162872154115605,,17329.96,,,,,,,,,,6.6,
2025-05-01,Granada,Hass,La Libertad,Viru,Mercado Mayorista de Frutas,Lima,6.06,6.6,7.13,28271.58,SYNTHETIC_GENERATOR,True,2026-06-30,False,21.22,35.2,27.96,0.0,61.51,11.7,2025,5,,,,,500.0,Truck,10000.0,5400.0,0.54,2025-05-01,2025-05-31,1.272,SYNTHETIC_GENERATOR,True,2026-06-30,False,3,1,18,2,0,486,6.69,4.97,,,,5.79,,,,,,-0.013452914798206428,,21538.69,,,,,,,,,,6.17,
2026-01-24,Granada,Hass,La Libertad,Viru,Mercado Mayorista de Frutas,Lima,5.91,6.17,6.64,19096.04,SYNTHETIC_GENERATOR,True,2026-06-30,False,17.08,31.18,24.4,0.0,80.62,11.21,2026,1,,,,,500.0,Truck,10000.0,6100.0,0.61,2026-01-01,2026-01-31,1.329,SYNTHETIC_GENERATOR,True,2026-06-30,False,5,24,4,1,1,754,6.6,5.71,,,,6.333333333333333,,,,,,-0.06515151515151507,,28271.58,,,,,,,,,,6.57,
2026-04-01,Granada,Hass,La Libertad,Viru,Mercado Mayorista de Frutas,Lima,6.19,6.57,7.22,27956.8,SYNTHETIC_GENERATOR,True,2026-06-30,False,19.89,33.57,26.81,0.48,69.26,13.18,2026,4,,,,,500.0,Truck,10000.0,6100.0,0.61,2026-04-01,2026-04-30,1.445,SYNTHETIC_GENERATOR,True,2026-06-30,False,2,1,14,2,0,821,6.17,6.69,,,,6.486666666666667,,,,,,0.06482982171799034,,19096.04,,,,,,,,,,,
