feature,importance
numeric__price_rolling_mean_30,0.2910817766331286
numeric__volume_rolling_mean_14,0.28945244672810116
numeric__production_tons,0.2379064237275057
numeric__temperature_rolling_mean_14,0.22688331072683598
numeric__fuel_price_index,0.21900309365838871
numeric__week_of_year,0.11066907955846951
numeric__price_rolling_mean_3,0.09717213609238612
numeric__price_lag_1,0.05564200044924594
numeric__day_of_month,0.048510292911723166
numeric__humidity_rolling_mean_7,0.029579893057401954
numeric__price_change_1d,0.027722218794876435
numeric__temp_max_c,0.0219253313244472
numeric__min_price_per_kg,0.02047727648390958
numeric__humidity_avg,0.017770556923501966
numeric__precipitation_rolling_sum_14,0.01670413344169471
numeric__precipitation_rolling_sum_7,0.016636904952173754
numeric__is_weekend,0.013318274965323207
numeric__max_price_per_kg,0.007684867334883905
numeric__wind_speed_kmh,0.007500248040414876
numeric__volume_kg,0.0070296661044080624
