feature,importance
numeric__temperature_rolling_mean_14,0.6488045447125566
numeric__production_tons,0.6155242862376056
numeric__price_rolling_mean_30,0.5201246535479762
numeric__volume_rolling_mean_14,0.3042876141077844
numeric__fuel_price_index,0.2619857643897893
numeric__week_of_year,0.14876153762111147
numeric__planted_area_ha,0.13950196662414513
numeric__avg_price_per_kg,0.12761007192785825
numeric__day_of_month,0.07424615312892455
numeric__volume_lag_7,0.06874954133865749
numeric__temp_max_c,0.04696415697898624
numeric__humidity_rolling_mean_7,0.045513333600370395
numeric__volume_change_7d,0.03664006989494256
numeric__cost_per_kg,0.030934256672517
numeric__total_transport_cost,0.03093425667251342
numeric__humidity_avg,0.028317686291056895
numeric__price_rolling_std_7,0.027758837054592644
numeric__price_rolling_mean_3,0.022083383712620624
numeric__price_lag_14,0.02142134860355417
numeric__precipitation_rolling_sum_14,0.020301225138660905
