feature,importance
numeric__price_rolling_mean_30,0.8008518320675947
numeric__volume_rolling_mean_14,0.6599942194342195
numeric__price_rolling_mean_3,0.3059621599938366
numeric__avg_price_per_kg,0.24779993692196117
numeric__temperature_rolling_mean_7,0.17269192736403394
numeric__distance_km,0.161933411927975
numeric__temperature_rolling_mean_14,0.11733208106334897
numeric__planted_area_ha,0.0885138622630408
categorical__variety_Paprika,0.07733504632408819
categorical__origin_province_Arequipa,0.07733504632408764
categorical__product_Pimiento,0.07733504632408716
categorical__origin_department_Arequipa,0.07733504632408714
numeric__price_lag_1,0.0684822396563125
numeric__week_of_year,0.05997811196973632
numeric__humidity_rolling_mean_7,0.05603636531020741
numeric__fuel_price_index,0.049377397886372895
numeric__day_of_month,0.04008572729360585
numeric__price_lag_14,0.03796634139182578
numeric__temp_avg_c,0.035190106405613875
numeric__temp_max_c,0.03170327140829654
